Chord Name,Chord Type,Ft-E,Ft-A,Ft-D,Ft-G,Ft-B,Ft-e,Fg-E,Fg-A,Fg-D,Fg-G,Fg-B,Fg-e,Fn-E,Fn-A,Fn-D,Fn-G,Fn-B,Fn-e,Fi-E,Fi-A,Fi-D,Fi-G,Fi-B,Fi-e,Fret Positions,Finger Positions,Notes,Sorted Intervals,Grouping
Edim7,dim7,x,x,2,3,2,3,0,0,1,3,2,4,,,E,Bb,Db,G,,,1,b5,6,b3,x-x-2-3-2-3,0-0-1-3-2-4,E Bb Db G,1 b3 b5 6 ,
Edim7,dim7,x,x,2,3,2,3,x,x,1,3,2,4,,,E,Bb,Db,G,,,1,b5,6,b3,x-x-2-3-2-3,x-x-1-3-2-4,E Bb Db G,1 b3 b5 6 ,
Edim7,dim7,x,x,14,15,14,15,x,x,1,3,2,4,,,E,Bb,Db,G,,,1,b5,6,b3,x-x-14-15-14-15,x-x-1-3-2-4,E Bb Db G,1 b3 b5 6 ,
Em,m,0,2,2,0,0,0,0,2,3,0,0,0,E,B,E,G,B,E,1,5,1,b3,5,1,0-2-2-0-0-0,0-2-3-0-0-0,E B E G B E,1 b3 5 ,
Em,m,12,14,14,12,12,12,1,3,4,1,1,1,E,B,E,G,B,E,1,5,1,b3,5,1,12-14-14-12-12-12,1-3-4-1-1-1,E B E G B E,1 b3 5 ,
Em,m,x,7,9,9,8,7,x,1,3,4,2,1,,E,B,E,G,B,,1,5,1,b3,5,x-7-9-9-8-7,x-1-3-4-2-1,E B E G B,1 b3 5 ,
Em,m,x,x,2,4,5,3,x,x,1,3,4,2,,,E,B,E,G,,,1,5,1,b3,x-x-2-4-5-3,x-x-1-3-4-2,E B E G,1 b3 5 ,
Em,m,x,x,9,12,12,12,x,x,1,4,4,4,,,B,G,B,E,,,5,b3,5,1,x-x-9-12-12-12,x-x-1-4-4-4,B G B E,1 b3 5 ,
Em(add9),m(add9),0,2,2,0,0,2,0,2,3,0,0,4,E,B,E,G,B,Gb,1,5,1,b3,5,2,0-2-2-0-0-2,0-2-3-0-0-4,E B E G B Gb,1 2 b3 5 ,
Em(add9),m(add9),x,9,x,9,8,7,x,3,x,4,2,1,,Gb,,E,G,B,,2,,1,b3,5,x-9-x-9-8-7,x-3-x-4-2-1,Gb E G B,1 2 b3 5 ,
Em(add9),m(add9),x,10,9,11,12,12,x,2,1,3,4,4,,G,B,Gb,B,E,,b3,5,2,5,1,x-10-9-11-12-12,x-2-1-3-4-4,G B Gb B E,1 2 b3 5 ,
Em(add9),m(add9),x,x,4,4,5,3,x,x,2,3,4,1,,,Gb,B,E,G,,,2,5,1,b3,x-x-4-4-5-3,x-x-2-3-4-1,Gb B E G,1 2 b3 5 ,
Em(add9),m(add9),x,x,14,12,12,14,x,x,3,1,1,4,,,E,G,B,Gb,,,1,b3,5,2,x-x-14-12-12-14,x-x-3-1-1-4,E G B Gb,1 2 b3 5 ,
